# Energy(eV) minus_pCOHP_up minus_pCOHP_down minus_pCOHP_sum
-8.220549999999999358e+00 -7.969999999999999654e-03 -9.310000000000000567e-03 -1.728000000000000022e-02
-8.170429999999999637e+00 -9.700000000000000289e-03 -1.085999999999999986e-02 -2.056000000000000189e-02
-8.120300000000000296e+00 -1.120999999999999948e-02 -1.203000000000000076e-02 -2.324000000000000024e-02
-8.070180000000000575e+00 -1.217999999999999985e-02 -1.255000000000000039e-02 -2.473000000000000198e-02
-8.020049999999999457e+00 -1.238000000000000038e-02 -1.231999999999999935e-02 -2.469999999999999973e-02
-7.969920000000000115e+00 -1.183000000000000024e-02 -1.145999999999999970e-02 -2.328999999999999820e-02
-7.919800000000000395e+00 -1.073999999999999955e-02 -1.021000000000000033e-02 -2.094999999999999987e-02
-7.869670000000000165e+00 -9.320000000000000159e-03 -8.729999999999999913e-03 -1.805000000000000007e-02
-7.819549999999999557e+00 -7.709999999999999840e-03 -7.049999999999999843e-03 -1.475999999999999882e-02
-7.769420000000000215e+00 -5.870000000000000218e-03 -5.100000000000000366e-03 -1.097000000000000058e-02
-7.719299999999999606e+00 -3.650000000000000033e-03 -2.720000000000000195e-03 -6.370000000000000662e-03
